State,County,ICU Beds,Total Population,Population Aged 60+,Percent of Population Aged 60+,Residents Aged 60+ Per Each ICU Bed
South Dakota,Hand,0,3303,1048,31.7,null
South Dakota,Hanson,0,3404,758,22.3,null
South Dakota,Harding,0,1281,338,26.4,null
South Dakota,Hughes,6,17572,4017,22.9,670
South Dakota,Hutchinson,0,7277,2187,30.1,null
South Dakota,Hyde,0,1373,424,30.9,null
South Dakota,Jackson,0,3275,660,20.2,null
South Dakota,Jerauld,0,2034,670,32.9,null
South Dakota,Jones,0,740,252,34.1,null
South Dakota,Kingsbury,0,5000,1532,30.6,null
South Dakota,Lake,0,12350,3478,28.2,null
South Dakota,Lawrence,5,25018,6595,26.4,1319
South Dakota,Lincoln,0,53147,8390,15.8,null
South Dakota,Lyman,0,3882,850,21.9,null
South Dakota,McCook,0,5515,1423,25.8,null
South Dakota,McPherson,0,2366,820,34.7,null
South Dakota,Marshall,0,4759,1287,27,null
South Dakota,Meade,3,27066,5515,20.4,1838
South Dakota,Mellette,0,2062,457,22.2,null
South Dakota,Miner,0,2255,606,26.9,null
South Dakota,Minnehaha,54,183660,32585,17.7,603
South Dakota,Moody,0,6496,1527,23.5,null
South Dakota,Oglala Lakota,0,14291,1355,9.5,null
South Dakota,Pennington,38,108126,24271,22.4,639
South Dakota,Perkins,0,2964,874,29.5,null
South Dakota,Potter,0,2318,860,37.1,null
South Dakota,Roberts,0,10250,2568,25.1,null
South Dakota,Sanborn,0,2366,686,29,null
South Dakota,Spink,0,6478,1753,27.1,null
South Dakota,Stanley,0,2994,852,28.5,null
South Dakota,Sully,0,1390,375,27,null
South Dakota,Todd,0,10016,1102,11,null
South Dakota,Tripp,0,5480,1628,29.7,null
South Dakota,Turner,0,8242,2273,27.6,null
South Dakota,Union,0,14929,3448,23.1,null
South Dakota,Walworth,4,5502,1683,30.6,421
South Dakota,Yankton,10,22660,5565,24.6,557
South Dakota,Ziebach,0,2837,347,12.2,null
Tennessee,Anderson,25,75538,19563,25.9,783
Tennessee,Bedford,8,46854,9596,20.5,1200
Tennessee,Benton,0,16154,4936,30.6,null
Tennessee,Bledsoe,0,14413,3372,23.4,null
Tennessee,Blount,16,127135,32770,25.8,2048
Tennessee,Bradley,27,103666,22968,22.2,851
Tennessee,Campbell,10,39824,10474,26.3,1047
Tennessee,Cannon,0,13839,3426,24.8,null
Tennessee,Carroll,6,28137,7284,25.9,1214
Tennessee,Carter,8,56500,15434,27.3,1929
Tennessee,Cheatham,0,39713,7818,19.7,null
Tennessee,Chester,0,17097,3805,22.3,null
Tennessee,Claiborne,5,31566,8189,25.9,1638
Tennessee,Clay,0,7684,2417,31.5,null
Tennessee,Cocke,5,35262,9766,27.7,1953
Tennessee,Coffee,14,54074,12449,23,889
Tennessee,Crockett,0,14554,3458,23.8,null
Tennessee,Cumberland,12,58178,21229,36.5,1769
Tennessee,Davidson,614,678322,113356,16.7,185
Tennessee,Decatur,0,11681,3532,30.2,null
Tennessee,DeKalb,4,19380,4748,24.5,1187
Tennessee,Dickson,6,51341,10824,21.1,1804
Tennessee,Dyer,10,37751,8344,22.1,834
Tennessee,Fayette,0,39336,10782,27.4,null
Tennessee,Fentress,0,17940,5028,28,null
Tennessee,Franklin,10,41397,10550,25.5,1055
Tennessee,Gibson,3,49222,11692,23.8,3897
Tennessee,Giles,6,29024,7499,25.8,1250
Tennessee,Grainger,0,22942,6025,26.3,null
Tennessee,Greene,6,68520,18918,27.6,3153
Tennessee,Grundy,0,13359,3484,26.1,null
Tennessee,Hamblen,20,63465,14917,23.5,746
Tennessee,Hamilton,215,354589,81748,23.1,380
Tennessee,Hancock,0,6605,1714,26,null
Tennessee,Hardeman,0,25784,6150,23.9,null
Tennessee,Hardin,0,25813,7483,29,null
Tennessee,Hawkins,6,56402,14964,26.5,2494
Tennessee,Haywood,0,17944,4298,24,null
Tennessee,Henderson,0,27889,6460,23.2,null
Tennessee,Henry,6,32263,9544,29.6,1591
Tennessee,Hickman,0,24502,5677,23.2,null
Tennessee,Houston,0,8188,2113,25.8,null
Tennessee,Humphreys,0,18281,4794,26.2,null
Tennessee,Jackson,0,11573,3398,29.4,null
Tennessee,Jefferson,6,52887,13602,25.7,2267
Tennessee,Johnson,0,17846,5169,29,null
Tennessee,Knox,254,452286,93686,20.7,369
Tennessee,Lake,0,7588,1586,20.9,null
Tennessee,Lauderdale,0,26497,5499,20.8,null
Tennessee,Lawrence,6,42591,9973,23.4,1662
Tennessee,Lewis,0,11944,3517,29.4,null
Tennessee,Lincoln,7,33543,8761,26.1,1252
Tennessee,Loudon,5,51024,16724,32.8,3345
Tennessee,McMinn,4,52569,13164,25,3291
Tennessee,McNairy,0,25945,6985,26.9,null
Tennessee,Macon,0,23239,5106,22,null
Tennessee,Madison,76,97887,21289,21.7,280
Tennessee,Marion,0,28355,7204,25.4,null
Tennessee,Marshall,0,31753,7297,23,null
Tennessee,Maury,65,87606,18777,21.4,289
Tennessee,Meigs,0,11830,3343,28.3,null
Tennessee,Monroe,0,45698,12263,26.8,null
Tennessee,Montgomery,21,192120,25156,13.1,1198
Tennessee,Moore,0,6302,1856,29.5,null
Tennessee,Morgan,0,21639,5004,23.1,null
Tennessee,Obion,7,30659,7883,25.7,1126
Tennessee,Overton,6,21995,5857,26.6,976
Tennessee,Perry,0,7882,2130,27,null
Tennessee,Pickett,0,5071,1699,33.5,null
Tennessee,Polk,0,16722,4308,25.8,null
Tennessee,Putnam,38,75565,16721,22.1,440
Tennessee,Rhea,3,32478,7787,24,2596
Tennessee,Roane,6,52926,15778,29.8,2630
Tennessee,Robertson,8,68575,13369,19.5,1671
Tennessee,Rutherford,78,298456,42641,14.3,547
Tennessee,Scott,0,21949,4657,21.2,null
Tennessee,Sequatchie,0,14654,3703,25.3,null
Tennessee,Sevier,16,95523,23741,24.9,1484
Tennessee,Shelby,277,937847,169553,18.1,612
Tennessee,Smith,2,19279,4324,22.4,2162
Tennessee,Stewart,0,13248,3586,27.1,null
Tennessee,Sullivan,103,156519,44012,28.1,427
Tennessee,Sumner,38,175730,36997,21.1,974
Tennessee,Tipton,7,61434,11660,19,1666
Tennessee,Trousdale,0,8773,1811,20.6,null
Tennessee,Unicoi,0,17830,5164,29,null
Tennessee,Union,0,19176,4587,23.9,null
Tennessee,Van Buren,0,5675,1717,30.3,null
Tennessee,Warren,8,40210,9356,23.3,1170
